Amostra,Potência Média do Vento (MW),,,,Potência Média Consumida (MW),,,,Desvio Padrão do Vento (MW),,,FCSPV (Fração de Carga Suprida pela Potência do Vento),,,,,,Label PMV,,Label DPV,,Label FCSPV,
1,2037.36375,,,,55223.90458,,,,1197.57172,,,0.036892787,,,,,,-1,,0,,-1,
2,3437.089167,,,,62364.55208,,,,696.9429838,,,0.055112865,,,,,,-1,,-1,,-1,
3,5629.447083,,,,63140.03458,,,,1154.329296,,,0.089158125,,,,,,0,,0,,1,
4,6290.325833,,,,61597.35625,,,,2627.317718,,,0.102120062,,,,,,0,,1,,1,
5,6303.080833,,,,57271.94708,,,,1141.237252,,,0.110055292,,,,,,0,,-1,,1,
6,4945.155417,,,,55254.26875,,,,2257.453982,,,0.089498161,,,,,,0,,0,,1,
7,6170.327083,,,,60891.5325,,,,2331.174173,,,0.101333089,,,,,,0,,1,,1,
8,6271.562917,,,,60046.51083,,,,2098.23417,,,0.104445085,,,,,,0,,0,,1,
9,6553.95125,,,,58074.82625,,,,1811.930226,,,0.112853566,,,,,,0,,0,,1,
10,7522.705833,,,,59098.52167,,,,533.8395752,,,0.127290931,,,,,,0,,-1,,1,
11,6094.420833,,,,55964.42917,,,,777.0685575,,,0.108898115,,,,,,0,,-1,,1,
12,6681.410833,,,,52289.15958,,,,1792.937011,,,0.127778126,,,,,,0,,0,,1,
13,3563.774583,,,,55362.17042,,,,508.7010262,,,0.064372017,,,,,,-1,,-1,,-1,
14,1860.252917,,,,63503.69042,,,,1058.339907,,,0.029293619,,,,,,-1,,-1,,-1,
15,5244.78125,,,,63741.40917,,,,1720.057045,,,0.082282167,,,,,,0,,0,,1,
16,6752.261667,,,,61832.01958,,,,1021.250798,,,0.109203318,,,,,,0,,-1,,1,
17,2166.33625,,,,61468.1425,,,,726.2444667,,,0.035243236,,,,,,-1,,-1,,-1,
18,7360.483333,,,,60820.2025,,,,1089.967765,,,0.121020369,,,,,,0,,-1,,1,
19,8188.59,,,,53956.95875,,,,1284.693359,,,0.151761519,,,,,,0,,0,,1,
20,5099.464583,,,,56334.45917,,,,1480.689133,,,0.090521231,,,,,,0,,0,,1,
21,6824.790417,,,,65507.83125,,,,937.3119964,,,0.104182817,,,,,,0,,-1,,1,
22,1553.05,,,,68250.29625,,,,846.3505941,,,0.022755213,,,,,,-1,,-1,,-1,
23,5053.862083,,,,66213.84292,,,,1948.705968,,,0.076326367,,,,,,0,,0,,1,
24,4323.9275,,,,66723.605,,,,1595.540191,,,0.064803565,,,,,,0,,0,,-1,
25,5612.992917,,,,63480.1425,,,,1151.968475,,,0.08842124,,,,,,0,,0,,1,
